Symbol,Security Name,Exchange
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ
AACQ,Artius Acquisition Inc. - Class A Common Stock,NASDAQ
AACQU,Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant,NASDAQ
AACQW,Artius Acquisition Inc. - Warrant,NASDAQ
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ
AAME,Atlantic American Corporation - Common Stock,NASDAQ
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ
AAON,"AAON, Inc. - Common Stock",NASDAQ
AAPL,Apple Inc. - Common Stock,NASDAQ
AAWW,Atlas Air Worldwide Holdings - Common Stock,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ
ABCB,Ameris Bancorp - Common Stock,NASDAQ
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ
ABCM,Abcam plc - American Depositary Shares,NASDAQ
ABGI,ABG Acquisition Corp. I - Class A Ordinary Shares,NASDAQ
ABIO,"ARCA biopharma, Inc. - Common Stock",NASDAQ
ABMD,"ABIOMED, Inc. - Common Stock",NASDAQ
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ
ABST,Absolute Software Corporation - Common Stock,NASDAQ
ABTX,"Allegiance Bancshares, Inc. - Common Stock",NASDAQ
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ
ACAC,Acies Acquisition Corp. - Class A Ordinary Share,NASDAQ
ACACU,Acies Acquisition Corp. - Unit,NASDAQ
ACACW,Acies Acquisition Corp. - Warrant,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ
ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",NASDAQ
ACCD,"Accolade, Inc. - common stock",NASDAQ
ACER,Acer Therapeutics Inc. - Common Stock,NASDAQ
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ
ACEV,ACE Convergence Acquisition Corp. - Class A Ordinary Shares,NASDAQ
ACEVU,ACE Convergence Acquisition Corp. - Unit,NASDAQ
ACEVW,ACE Convergence Acquisition Corp. - Warrant,NASDAQ
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ
ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ
ACIU,AC Immune SA - Common Stock,NASDAQ
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ
ACKIT,Ackrell SPAC Partners I Co.  - Subunits,NASDAQ
ACKIU,Ackrell SPAC Partners I Co.  - Units,NASDAQ
ACKIW,Ackrell SPAC Partners I Co.  - Warrants,NASDAQ
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ
ACNB,ACNB Corporation - Common Stock,NASDAQ
ACOR,"Acorda Therapeutics, Inc. - Common Stock",NASDAQ
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",NASDAQ
ACTC,ArcLight Clean Transition Corp. - Class A Ordinary Shares,NASDAQ
ACTCU,ArcLight Clean Transition Corp. - Unit,NASDAQ
ACTCW,ArcLight Clean Transition Corp. - Warrant,NASDAQ
ACTG,Acacia Research Corporation - Common Stock,NASDAQ
ACWI,iShares MSCI ACWI Index Fund,NASDAQ
ACWX,iShares MSCI ACWI ex US Index Fund,NASDAQ
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,NASDAQ
ADBE,Adobe Inc. - Common Stock,NASDAQ
ADERU,26 Capital Acquisition Corp. - Unit,NASDAQ
ADES,"Advanced Emissions Solutions, Inc. - Common Stock",NASDAQ
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ
ADILW,"Adial Pharmaceuticals, Inc - Warrant",NASDAQ
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation - Common Stock,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc. - Common Stock",NASDAQ
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",NASDAQ
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",NASDAQ
ADOC,Edoc Acquisition Corp. - Class A Ordinary Share,NASDAQ
ADOCR,Edoc Acquisition Corp. - Right,NASDAQ
ADOCW,Edoc Acquisition Corp. - Warrant,NASDAQ
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ
ADTN,"ADTRAN, Inc. - Common Stock",NASDAQ
ADTX,"ADiTx Therapeutics, Inc. - Common Stock",NASDAQ
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",NASDAQ
ADVWW,Advantage Solutions Inc.  - Warrant,NASDAQ
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ
AEACU,Authentic Equity Acquisition Corp. - Unit,NASDAQ
AEGN,Aegion Corp - Class A Common Stock,NASDAQ
AEHL,Antelope Enterprise Holdings Limited - Common Stock,NASDAQ
AEHR,Aehr Test Systems - Common Stock,NASDAQ
AEI,Alset EHome International Inc. - Common Stock,NASDAQ
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ
AEPPL,"American Electric Power Company, Inc. - Corporate Unit",NASDAQ
AEPPZ,"American Electric Power Company, Inc. - Corporate Unit",NASDAQ
AERI,"Aerie Pharmaceuticals, Inc. - Common Stock",NASDAQ
AESE,"Allied Esports Entertainment, Inc. - Common Stock",NASDAQ
AEY,"ADDvantage Technologies Group, Inc. - Common Stock",NASDAQ
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ
AFIB,"Acutus Medical, Inc. - Common Stock",NASDAQ
AFIN,"American Finance Trust, Inc. - Class A Common Stock",NASDAQ
AFINO,"American Finance Trust, Inc. - 7.375% Series C Cumulative Redeemable Preferred Stock",NASDAQ
AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",NASDAQ
AFMD,Affimed N.V. - Common Stock,NASDAQ
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ
AFYA,Afya Limited - Class A Common Shares,NASDAQ
AGBAR,AGBA Acquisition Limited - Right,NASDAQ
AGBAU,AGBA Acquisition Limited - Unit,NASDAQ
AGBAW,AGBA Acquisition Limited - Warrant,NASDAQ
AGC,Altimeter Growth Corp. - Class A Ordinary Shares,NASDAQ
AGCUU,Altimeter Growth Corp. - Unit,NASDAQ
AGCWW,Altimeter Growth Corp. - Warrant,NASDAQ
AGEN,Agenus Inc. - Common Stock,NASDAQ
AGFS,"AgroFresh Solutions, Inc. - Common Stock",NASDAQ
AGFY,Agrify Corporation - Common Stock,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ
AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",NASDAQ
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGRX,"Agile Therapeutics, Inc. - Common Stock",NASDAQ
AGTC,Applied Genetic Technologies Corporation - Common Stock,NASDAQ
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAQ
AHAC,Alpha Healthcare Acquisition Corp. - Common Stock,NASDAQ
AHACU,Alpha Healthcare Acquisition Corp. - Unit,NASDAQ
AHACW,Alpha Healthcare Acquisition Corp. - Warrant,NASDAQ
AHCO,AdaptHealth Corp.  - Class A Common Stock,NASDAQ
AHPI,"Allied Healthcare Products, Inc. - Common Stock",NASDAQ
AIA,iShares Asia 50 ETF,NASDAQ
AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,NASDAQ
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ
AIKI,AIkido Pharma Inc. - Common Stock,NASDAQ
AIMC,Altra Industrial Motion Corp. - Common Stock,NASDAQ
